ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-SUK-02166,Sukkur,Sukkur,27.71823   68.84606,Abdul Rasool,Shahid Ahmed
ES2-RYK-02171,Sadiq Abad,Sukkur,28.09435   69.96459,Abdul Rasool,Shahid Ahmed
ES2-SUK-02180,Sukkur Biker,Sukkur,27.717582   68.86326,Abdul Rasool,Shahid Ahmed
ES2-KDY-02266,Kandiaro,Sukkur,27.05934   68.21931,Abdul Rasool,Shahid Ahmed
ES2-GKI-02374,Ghotki,Sukkur,28.07831   69.46512,Abdul Rasool,Shahid Ahmed
ES2-SDQ-02376,Sadiq Abad,Sukkur,28.215569   70.006623,Abdul Rasool,Shahid Ahmed
ES2-KDJ-02377,Sukkur,Sukkur,27.45786   68.76448,Abdul Rasool,Shahid Ahmed
ES2-RHR-02546,Sukkur Biker,Sukkur,27.69929   68.88141,Abdul Rasool,Shahid Ahmed
ES2-KDJ-02557,Sukkur,Sukkur,27.39844   68.73842,Abdul Rasool,Shahid Ahmed
ES2-GKI-02985,Ghotki,Sukkur,27.9252   69.1984,Abdul Rasool,Shahid Ahmed
ES2-SUK-03168,Sukkur,Sukkur,27.7127   68.86604,Abdul Rasool,Shahid Ahmed
ES2-NSF-03258,Nausheroferoz,Sukkur,26.84138°   68.12473°,Abdul Rasool,Shahid Ahmed
ES2-MPM-03273,Ghotki,Sukkur,28.02584   69.54832,Abdul Rasool,Shahid Ahmed
ES2-KRP-03278,Sukkur,Sukkur,27.52571   68.74554,Abdul Rasool,Shahid Ahmed
ES2-PQL-03317,Ghotki,Sukkur,27.88096   69.08919,Abdul Rasool,Shahid Ahmed
ES2-GKI-03564,Ghotki,Sukkur,28.00773   69.31762,Abdul Rasool,Shahid Ahmed
ES2-KWH-03578,Kandiaro,Sukkur,27.17664   68.29522,Abdul Rasool,Shahid Ahmed
ES2-GMT-03686,Ranipur,Sukkur,27.38072   68.51696,Abdul Rasool,Shahid Ahmed
ES2-SDJ-03689,Sukkur,Sukkur,27.59624   68.54181,Abdul Rasool,Shahid Ahmed
ES2-DBI-03783,Ranipur,Sukkur,27.13566   68.66372,Abdul Rasool,Shahid Ahmed
