ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
EUS-QSK-04676,Qambar,Larkana,27.69186   67.88423,Nadeem Arbani,Mohsin Ali
EUS-QSK-04677,ShahdadKot,Larkana,27.80358   68.03715,Nadeem Arbani,Mohsin Ali
EUS-QSK-04678,ShahdadKot,Larkana,27.82137   67.44221,Nadeem Arbani,Mohsin Ali
EUS-QSK-04680,Qambar,Larkana,27.60778   67.64307,Nadeem Arbani,Mohsin Ali
EUS-QSK-04682,Qambar,Larkana,27.54459   67.55912,Nadeem Arbani,Mohsin Ali
EUS-QSK-04684,Qambar,Larkana,27.53524   67.75647,Nadeem Arbani,Mohsin Ali
EUS-QSK-04686,Qambar,Larkana,27.39568   67.71506,Nadeem Arbani,Mohsin Ali
EUS-QSK-04687,Qambar,Larkana,27.32298   67.75636,Nadeem Arbani,Mohsin Ali
EUS-QSK-04688,Larkana - 2,Larkana,27.540563   68.078297,Nadeem Arbani,Mohsin Ali
EUS-QSK-04689,Qambar,Larkana,27.5572   68.019,Nadeem Arbani,Mohsin Ali
EUS-QSK-04690,ShahdadKot,Larkana,27.9636   67.82716,Nadeem Arbani,Mohsin Ali
EUS-QSK-04691,ShahdadKot,Larkana,27.86226   67.77412,Nadeem Arbani,Mohsin Ali
EUS-QSK-04692,Qambar,Larkana,27.70522   67.74031,Nadeem Arbani,Mohsin Ali
EUS-QSK-04693,Qambar,Larkana,27.47464   67.69994,Nadeem Arbani,Mohsin Ali
ES2-LKN-04740,Qambar,Larkana,27.615887   68.008633,Nadeem Arbani,Mohsin Ali
ES2-LKN-04741,Qambar,Larkana,27.661905   68.019063,Nadeem Arbani,Mohsin Ali
ES2-BDA-05414,Larkana - 2,Larkana,27.38903   68.05972,Nadeem Arbani,Mohsin Ali
ES2-JCA-05521,ShahdadKot,Larkana,27.98807   67.96275,Nadeem Arbani,Mohsin Ali
ES2-LKN-05538,Qambar,Larkana,27.6718   68.06243,Nadeem Arbani,Mohsin Ali
ES2-LKN-05539,Qambar,Larkana,27.56039   67.93427,Nadeem Arbani,Mohsin Ali
ES2-LKN-05540,Larkana - 2,Larkana,27.72461   68.06435,Nadeem Arbani,Mohsin Ali
ES2-LKN-05541,Qambar,Larkana,27.60755   68.09195,Nadeem Arbani,Mohsin Ali
ES2-LKN-05542,Qambar,Larkana,27.55051   67.88631,Nadeem Arbani,Mohsin Ali
ES2-LKN-05706,Larkana - 2,Larkana,27.54249   68.26134,Nadeem Arbani,Mohsin Ali
ES2-LKN-05707,Larkana - 1,Larkana,27.57896   68.21017,Nadeem Arbani,Mohsin Ali
ES2-LKN-05710,Qambar,Larkana,27.55891   68.05866,Nadeem Arbani,Mohsin Ali
ES2-LKN-05712,Larkana - 1,Larkana,27.51792   68.20316,Nadeem Arbani,Mohsin Ali
ES2-LKN-05713,Larkana - 2,Larkana,27.693108   68.338937,Nadeem Arbani,Mohsin Ali
ES2-LKN-05785,Larkana - 2,Larkana,27.676592   68.365763,Nadeem Arbani,Mohsin Ali
ES2-RTD-05931,Larkana - 2,Larkana,27.805779   68.295833,Nadeem Arbani,Mohsin Ali
ES2-NAU-06061,Larkana - 2,Larkana,27.66281   68.37827,Nadeem Arbani,Mohsin Ali
ES2-LKN-06089,Larkana - 1,Larkana,27.54846   68.22575,Nadeem Arbani,Mohsin Ali
ES2-LKN-06647,Larkana - 2,Larkana,27.30323   68.08904,Nadeem Arbani,Mohsin Ali
ES2-SDK-06731,ShahdadKot,Larkana,27.851465   67.90633,Nadeem Arbani,Mohsin Ali
ES2-SDK-06737,ShahdadKot,Larkana,27.85595   67.91628,Nadeem Arbani,Mohsin Ali
ES2-SDK-06738,ShahdadKot,Larkana,27.8404   67.91059,Nadeem Arbani,Mohsin Ali
ES2-LKN-06828,Larkana - 1,Larkana,27.54812   68.23136,Nadeem Arbani,Mohsin Ali
ES2-LKN-07118,Larkana - 1,Larkana,27.56983   68.20231,Nadeem Arbani,Mohsin Ali
ES2-SDK-07210,ShahdadKot,Larkana,27.84729   67.89565,Nadeem Arbani,Mohsin Ali
ES2-LKN-07442,Larkana - 2,Larkana,27.59862   68.22546,Nadeem Arbani,Mohsin Ali
ES2-LKN-07446,Larkana - 1,Larkana,27.56981   68.21909,Nadeem Arbani,Mohsin Ali
ES2-LKN-07525,Larkana - 1,Larkana,27.504   68.19919,Nadeem Arbani,Mohsin Ali
ES2-LKN-07526,Larkana - 1,Larkana,27.5786   68.20499,Nadeem Arbani,Mohsin Ali
ES2-QBR-08936,ShahdadKot,Larkana,27.757241   68.09155,Nadeem Arbani,Mohsin Ali
ES2-SDK-09205,ShahdadKot,Larkana,27.856377   67.922656,Nadeem Arbani,Mohsin Ali
ES2-QBR-09561,Qambar,Larkana,27.583559   68.008611,Nadeem Arbani,Mohsin Ali
ES2-UTM-09599,Dera Allah Yar,Jacob Abad,28.168459   68.04019,Saif Ul Islam,Abdul Waheed
ES2-DMJ-09575,Dera Allah Yar,Jacob Abad,28.54131   68.22804,Saif Ul Islam,Abdul Waheed
ES2-UTM-09579,Dera Allah Yar,Jacob Abad,28.186312   68.050871,Saif Ul Islam,Abdul Waheed
ES2-DRK-06471,Ghotki,Sukkur,28.04661   69.6896,Abdul Rasool,Shahid Ahmed
ES2-KRP-06430,Sukkur,Sukkur,27.50689   68.75908,Abdul Rasool,Shahid Ahmed
ES2-MHP-06699,Ranipur,Sukkur,27.05242   68.380181,Abdul Rasool,Shahid Ahmed
ES2-MPM-04934,Ghotki,Sukkur,28.02901   69.60287,Abdul Rasool,Shahid Ahmed
ES2-NSF-08671,Nausheroferoz,Sukkur,26.83854   68.12639,Abdul Rasool,Shahid Ahmed
ES2-GKI-08576,Ghotki,Sukkur,28.17145   69.60152,Abdul Rasool,Shahid Ahmed
ES2-LKN-08761,Larkana - 2,Larkana,27.540354   68.20959,Nadeem Arbani,Mohsin Ali
ES2-MPM-08426,Ghotki,Sukkur,28.0124   69.5639,Abdul Rasool,Shahid Ahmed
ES2-SDQ-09753,Sadiq Abad,Sukkur,28.295707   70.140008,Abdul Rasool,Shahid Ahmed
ES2-SUK-09749,Sukkur,Sukkur,27.736102   68.838559,Abdul Rasool,Shahid Ahmed
ES2-LKN-09735,Larkana - 1,Larkana,27.548626   68.214098,Nadeem Arbani,Mohsin Ali
ES2-LKN-09557,Larkana - 1,Larkana,27.537899   68.208208,Nadeem Arbani,Mohsin Ali
ES2-GMT-09746,Ranipur,Sukkur,27.336036   68.532201,Abdul Rasool,Shahid Ahmed
ES2-PQL-09655,Ghotki,Sukkur,27.7848   69.4215,Abdul Rasool,Shahid Ahmed
ES2-DMJ-09751,Dera Allah Yar,Jacob Abad,28.5583   68.2136,Saif Ul Islam,Abdul Waheed
ES2-WRH-09598,Qambar,Larkana,27.446769   67.793217,Nadeem Arbani,Mohsin Ali
ES2-NSF-09736,Nausheroferoz,Sukkur,26.8345   68.1209,Abdul Rasool,Shahid Ahmed
ES2-SUK-09789,Sukkur,Sukkur,27.736021   68.838469,Abdul Rasool,Shahid Ahmed
ES2-LKN-09593,Larkana - 1,Larkana,27.56013   68.214974,Nadeem Arbani,Mohsin Ali
ES2-SUK-09788,Sukkur,Sukkur,27.70634   68.83991,Abdul Rasool,Shahid Ahmed
ES2-CND-09801,Ranipur,Sukkur,27.160467   68.964322,Abdul Rasool,Shahid Ahmed
ES2-DRK-09814,Ghotki,Sukkur,28.080399   69.711139,Abdul Rasool,Shahid Ahmed
ES2-RYK-08638,Sadiq Abad,Sukkur,28.36   70.01,Abdul Rasool,Shahid Ahmed
