Site Id,Sub Region,Region,Beginning,Days Passed,Aging,Alarm,ES POC,SMS POC,History | Issue,Summarize,Domain,
ES2-QBR-08936,ShahdadKot,Larkana,12-Jul-25,116,100+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-LKN-05713,Larkana - 2,Larkana,21-Jul-25,106,100+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SDK-04355,ShahdadKot,Larkana,22-Jul-25,105,100+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-SDK-06731,ShahdadKot,Larkana,22-Jul-25,105,100+ Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-DMJ-09575,Dera Allahyar,Jacob Abad,23-Jul-25,104,100+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-NSD-05617,Dera Allahyar,Jacob Abad,23-Jul-25,104,100+ Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-UTM-09579,Dera Allahyar,Jacob Abad,31-Jul-25,96,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SBP-02076,Dera Allahyar,Jacob Abad,1-Aug-25,96,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SPR-07447,Shikarpur,Jacob Abad,1-Aug-25,96,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SPR-07910,Shikarpur,Jacob Abad,1-Aug-25,95,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SPR-05620,Shikarpur,Jacob Abad,1-Aug-25,95,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SPR-04963,Shikarpur,Jacob Abad,1-Aug-25,95,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-SDK-01850,ShahdadKot,Larkana,2-Aug-25,94,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-KSH-03811,Kandhkot,Jacob Abad,2-Aug-25,94,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-KSH-04983,Kandhkot,Jacob Abad,4-Aug-25,92,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-JCA-04872,Kandhkot,Jacob Abad,9-Aug-25,88,31 - 100 Days,Deepsea,Abdul Waheed,Saif ul Islam,,,,
ES2-LKN-04740,Qambar,Larkana,14-Aug-25,82,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-GMT-09199,Ranipur,Sukkur,16-Aug-25,80,31 - 100 Days,Deepsea,Shahid Ahmed,Abdul Rasool,,,,
ES2-LKN-01092,Larkana - 1,Larkana,17-Aug-25,79,31 - 100 Days,Deepsea,Mohsin Ali,Nadeem Ali,,,,
ES2-LKI-01080,Shikarpur,Jacob Abad,18-Aug-25,78,31 - 100 Days,Deepsea,Mohsin Ali,Saif ul Islam,,,,
